case,origin,dest,demand,y,flow
  169, 2,  4,225.0000, 48.4678,225.0000
  170, 1,  4,300.0000, 40.1667,300.0000
  170, 2,  4,225.0000, 48.4600,225.0000
  171, 1,  4,300.0000, 40.1667,300.0000
  171, 2,  4,225.0000, 48.4523,225.0000
  172, 1,  4,300.0000, 40.1667,300.0000
  172, 2,  4,225.0000, 48.4445,225.0000
  173, 1,  4,300.0000, 40.1667,300.0000
  173, 2,  4,225.0000, 48.4368,225.0000
  174, 1,  4,300.0000, 40.1667,300.0000
  174, 2,  4,225.0000, 48.4291,225.0000
  175, 1,  4,300.0000, 40.1667,300.0000
  175, 2,  4,225.0000, 48.4214,225.0000
  176, 1,  4,300.0000, 40.1667,300.0000
  176, 2,  4,225.0000, 48.4138,225.0000
  177, 1,  4,300.0000, 40.1667,300.0000
  177, 2,  4,225.0000, 48.4062,225.0000
  178, 1,  4,300.0000, 40.1667,300.0000
  178, 2,  4,225.0000, 48.3986,225.0000
  179, 1,  4,300.0000, 40.1667,300.0000
  179, 2,  4,225.0000, 48.3910,225.0000
  180, 1,  4,300.0000, 40.1667,300.0000
  180, 2,  4,225.0000, 48.3835,225.0000
  181, 1,  4,300.0000, 40.1667,300.0000
  181, 2,  4,225.0000, 48.3760,225.0000
  182, 1,  4,300.0000, 40.1667,300.0000
  182, 2,  4,225.0000, 48.3685,225.0000
  183, 1,  4,300.0000, 40.1667,300.0000
  183, 2,  4,225.0000, 48.3611,225.0000
  184, 1,  4,300.0000, 40.1667,300.0000
  184, 2,  4,225.0000, 48.3536,225.0000
  185, 1,  4,300.0000, 40.1667,300.0000
  185, 2,  4,225.0000, 48.3462,225.0000
  186, 1,  4,300.0000, 40.1667,300.0000
  186, 2,  4,225.0000, 48.3388,225.0000
  187, 1,  4,300.0000, 40.1667,300.0000
  187, 2,  4,225.0000, 48.3315,225.0000
  188, 1,  4,300.0000, 40.1667,300.0000
  188, 2,  4,225.0000, 48.3241,225.0000
  189, 1,  4,300.0000, 40.1667,300.0000
  189, 2,  4,225.0000, 48.3168,225.0000
  190, 1,  4,300.0000, 40.1667,300.0000
  190, 2,  4,225.0000, 48.3096,225.0000
  191, 1,  4,300.0000, 40.1667,300.0000
  191, 2,  4,225.0000, 48.3023,225.0000
  192, 1,  4,300.0000, 40.1667,300.0000
  192, 2,  4,225.0000, 48.2951,225.0000
  193, 1,  4,300.0000, 40.1667,300.0000
  193, 2,  4,225.0000, 48.2879,225.0000
  194, 1,  4,300.0000, 40.1667,300.0000
