method,case,dest,node,fout,lout,label
dp   ,  121, 1,  1,  1,  3, 39.06
dp   ,  121, 1,  2,  4,  5, 47.56
dp   ,  121, 1,  3,  6,  6, 15.16
dp   ,  122, 1,  1,  1,  3, 39.06
dp   ,  122, 1,  2,  4,  5, 47.55
dp   ,  122, 1,  3,  6,  6, 15.16
dp   ,  123, 1,  1,  1,  3, 39.06
dp   ,  123, 1,  2,  4,  5, 47.55
dp   ,  123, 1,  3,  6,  6, 15.16
dp   ,  124, 1,  1,  1,  3, 39.06
dp   ,  124, 1,  2,  4,  5, 47.54
dp   ,  124, 1,  3,  6,  6, 15.16
dp   ,  125, 1,  1,  1,  3, 39.06
dp   ,  125, 1,  2,  4,  5, 47.53
dp   ,  125, 1,  3,  6,  6, 15.16
dp   ,  126, 1,  1,  1,  3, 39.06
dp   ,  126, 1,  2,  4,  5, 47.52
dp   ,  126, 1,  3,  6,  6, 15.16
dp   ,  127, 1,  1,  1,  3, 39.06
dp   ,  127, 1,  2,  4,  5, 47.52
dp   ,  127, 1,  3,  6,  6, 15.16
dp   ,  128, 1,  1,  1,  3, 39.06
dp   ,  128, 1,  2,  4,  5, 47.51
dp   ,  128, 1,  3,  6,  6, 15.16
dp   ,  129, 1,  1,  1,  3, 39.06
dp   ,  129, 1,  2,  4,  5, 47.50
dp   ,  129, 1,  3,  6,  6, 15.16
dp   ,  130, 1,  1,  1,  3, 39.06
dp   ,  130, 1,  2,  4,  5, 47.49
dp   ,  130, 1,  3,  6,  6, 15.16
dp   ,  131, 1,  1,  1,  3, 39.06
dp   ,  131, 1,  2,  4,  5, 47.49
dp   ,  131, 1,  3,  6,  6, 15.16
dp   ,  132, 1,  1,  1,  3, 39.06
dp   ,  132, 1,  2,  4,  5, 47.48
dp   ,  132, 1,  3,  6,  6, 15.16
dp   ,  133, 1,  1,  1,  3, 39.06
dp   ,  133, 1,  2,  4,  5, 47.47
dp   ,  133, 1,  3,  6,  6, 15.16
dp   ,  134, 1,  1,  1,  3, 39.06
dp   ,  134, 1,  2,  4,  5, 47.47
dp   ,  134, 1,  3,  6,  6, 15.16
dp   ,  135, 1,  1,  1,  3, 39.06
dp   ,  135, 1,  2,  4,  5, 47.46
dp   ,  135, 1,  3,  6,  6, 15.16
dp   ,  136, 1,  1,  1,  3, 39.06
dp   ,  136, 1,  2,  4,  5, 47.45
dp   ,  136, 1,  3,  6,  6, 15.16
dp   ,  137, 1,  1,  1,  3, 39.06
dp   ,  137, 1,  2,  4,  5, 47.44
dp   ,  137, 1,  3,  6,  6, 15.16
dp   ,  138, 1,  1,  1,  3, 39.06
dp   ,  138, 1,  2,  4,  5, 47.44
dp   ,  138, 1,  3,  6,  6, 15.16
dp   ,  139, 1,  1,  1,  3, 39.06
dp   ,  139, 1,  2,  4,  5, 47.43
dp   ,  139, 1,  3,  6,  6, 15.16
dp   ,  140, 1,  1,  1,  3, 39.06
dp   ,  140, 1,  2,  4,  5, 47.42
dp   ,  140, 1,  3,  6,  6, 15.16
dp   ,  141, 1,  1,  1,  3, 39.06
dp   ,  141, 1,  2,  4,  5, 47.42
dp   ,  141, 1,  3,  6,  6, 15.16
dp   ,  142, 1,  1,  1,  3, 39.06
dp   ,  142, 1,  2,  4,  5, 47.41
dp   ,  142, 1,  3,  6,  6, 15.16
dp   ,  143, 1,  1,  1,  3, 39.06
dp   ,  143, 1,  2,  4,  5, 47.40
dp   ,  143, 1,  3,  6,  6, 15.16
dp   ,  144, 1,  1,  1,  3, 39.06
dp   ,  144, 1,  2,  4,  5, 47.40
dp   ,  144, 1,  3,  6,  6, 15.16
dp   ,  145, 1,  1,  1,  3, 39.06
dp   ,  145, 1,  2,  4,  5, 47.39
dp   ,  145, 1,  3,  6,  6, 15.16
dp   ,  146, 1,  1,  1,  3, 39.06
dp   ,  146, 1,  2,  4,  5, 47.38
dp   ,  146, 1,  3,  6,  6, 15.16
dp   ,  147, 1,  1,  1,  3, 39.06
dp   ,  147, 1,  2,  4,  5, 47.38
dp   ,  147, 1,  3,  6,  6, 15.16
dp   ,  148, 1,  1,  1,  3, 39.06
dp   ,  148, 1,  2,  4,  5, 47.37
dp   ,  148, 1,  3,  6,  6, 15.16
dp   ,  149, 1,  1,  1,  3, 39.06
dp   ,  149, 1,  2,  4,  5, 47.36
dp   ,  149, 1,  3,  6,  6, 15.16
dp   ,  150, 1,  1,  1,  3, 39.06
