method,case,dest,node,fout,lout,label
dp   ,  113, 1,  2,  4,  5, 23.87
dp   ,  113, 1,  3,  6,  6, 15.97
dp   ,  114, 1,  1,  1,  3, 33.63
dp   ,  114, 1,  2,  4,  5, 23.87
dp   ,  114, 1,  3,  6,  6, 14.54
dp   ,  115, 1,  1,  1,  3, 35.63
dp   ,  115, 1,  2,  4,  5, 22.84
dp   ,  116, 1,  1,  1,  3, 35.30
dp   ,  116, 1,  2,  4,  5, 22.52
dp   ,  116, 1,  3,  6,  6, 16.21
dp   ,  117, 1,  1,  1,  3, 33.96
dp   ,  117, 1,  2,  4,  5, 22.38
dp   ,  117, 1,  3,  6,  6, 14.88
dp   ,  118, 1,  1,  1,  3, 34.64
dp   ,  118, 1,  2,  4,  5, 21.85
dp   ,  119, 1,  1,  1,  3, 34.64
dp   ,  119, 1,  2,  4,  5, 21.85
dp   ,  120, 1,  1,  1,  3, 34.24
dp   ,  120, 1,  2,  4,  5, 21.48
dp   ,  120, 1,  3,  6,  6, 15.15
dp   ,  121, 1,  1,  1,  3, 35.89
dp   ,  121, 1,  2,  4,  5, 35.82
dp   ,  121, 1,  3,  6,  6, 18.97
dp   ,  122, 1,  1,  1,  3, 32.11
dp   ,  122, 1,  2,  4,  5, 35.82
dp   ,  122, 1,  3,  6,  6, 15.19
dp   ,  123, 1,  1,  1,  3, 30.49
dp   ,  123, 1,  2,  4,  5, 35.82
dp   ,  123, 1,  3,  6,  6, 13.57
dp   ,  124, 1,  1,  1,  3, 35.62
dp   ,  124, 1,  2,  4,  5, 26.86
dp   ,  124, 1,  3,  6,  6, 18.70
dp   ,  125, 1,  1,  1,  3, 32.57
dp   ,  125, 1,  2,  4,  5, 26.86
dp   ,  125, 1,  3,  6,  6, 15.65
dp   ,  126, 1,  1,  1,  3, 31.04
dp   ,  126, 1,  2,  4,  5, 26.86
dp   ,  126, 1,  3,  6,  6, 14.11
dp   ,  127, 1,  1,  1,  3, 35.11
dp   ,  127, 1,  2,  4,  5, 24.49
dp   ,  128, 1,  1,  1,  3, 32.89
dp   ,  128, 1,  2,  4,  5, 23.87
dp   ,  128, 1,  3,  6,  6, 15.97
dp   ,  129, 1,  1,  1,  3, 31.46
dp   ,  129, 1,  2,  4,  5, 23.87
dp   ,  129, 1,  3,  6,  6, 14.54
dp   ,  130, 1,  1,  1,  3, 33.46
dp   ,  130, 1,  2,  4,  5, 22.84
dp   ,  131, 1,  1,  1,  3, 33.14
dp   ,  131, 1,  2,  4,  5, 22.52
dp   ,  131, 1,  3,  6,  6, 16.21
dp   ,  132, 1,  1,  1,  3, 31.80
dp   ,  132, 1,  2,  4,  5, 22.38
dp   ,  132, 1,  3,  6,  6, 14.88
dp   ,  133, 1,  1,  1,  3, 32.48
dp   ,  133, 1,  2,  4,  5, 21.85
dp   ,  134, 1,  1,  1,  3, 32.48
dp   ,  134, 1,  2,  4,  5, 21.85
dp   ,  135, 1,  1,  1,  3, 35.97
dp   ,  135, 1,  2,  4,  5, 35.82
dp   ,  136, 1,  1,  1,  3, 35.97
dp   ,  136, 1,  2,  4,  5, 35.82
dp   ,  137, 1,  1,  1,  3, 35.97
dp   ,  137, 1,  2,  4,  5, 35.82
dp   ,  138, 1,  1,  1,  3, 35.97
dp   ,  138, 1,  2,  4,  5, 26.86
dp   ,  139, 1,  1,  1,  3, 35.97
dp   ,  139, 1,  2,  4,  5, 26.86
dp   ,  140, 1,  1,  1,  3, 35.97
dp   ,  140, 1,  2,  4,  5, 26.86
dp   ,  141, 1,  1,  1,  3, 35.97
dp   ,  141, 1,  2,  4,  5, 23.87
dp   ,  142, 1,  1,  1,  3, 35.97
dp   ,  142, 1,  2,  4,  5, 23.87
dp   ,  143, 1,  1,  1,  3, 35.97
dp   ,  143, 1,  2,  4,  5, 23.87
dp   ,  144, 1,  1,  1,  3, 35.97
dp   ,  144, 1,  2,  4,  5, 22.38
dp   ,  145, 1,  1,  1,  3, 35.97
dp   ,  145, 1,  2,  4,  5, 22.38
dp   ,  146, 1,  1,  1,  3, 35.97
dp   ,  146, 1,  2,  4,  5, 22.38
dp   ,  147, 1,  1,  1,  3, 35.97
dp   ,  147, 1,  2,  4,  5, 21.48
dp   ,  148, 1,  1,  1,  3, 35.97
dp   ,  148, 1,  2,  4,  5, 21.48
dp   ,  149, 1,  1,  1,  3, 35.97
dp   ,  149, 1,  2,  4,  5, 21.48
dp   ,  150, 1,  1,  1,  3, 35.97
dp   ,  150, 1,  2,  4,  5, 35.82
dp   ,  151, 1,  1,  1,  3, 34.28
dp   ,  151, 1,  2,  4,  5, 35.82
dp   ,  151, 1,  3,  6,  6, 15.19
dp   ,  152, 1,  1,  1,  3, 32.65
dp   ,  152, 1,  2,  4,  5, 35.82
dp   ,  152, 1,  3,  6,  6, 13.57
dp   ,  153, 1,  1,  1,  3, 35.97
dp   ,  153, 1,  2,  4,  5, 26.86
dp   ,  154, 1,  1,  1,  3, 34.73
dp   ,  154, 1,  2,  4,  5, 26.86
dp   ,  154, 1,  3,  6,  6, 15.65
dp   ,  155, 1,  1,  1,  3, 33.20
dp   ,  155, 1,  2,  4,  5, 26.86
dp   ,  155, 1,  3,  6,  6, 14.11
dp   ,  156, 1,  1,  1,  3, 35.97
dp   ,  156, 1,  2,  4,  5, 23.87
dp   ,  157, 1,  1,  1,  3, 35.06
