method,case,dest,node,fout,lout,label
dp   ,  190, 1,  1,  1,  3, 34.23
dp   ,  190, 1,  2,  4,  5, 26.65
dp   ,  191, 1,  1,  1,  3, 32.08
dp   ,  191, 1,  2,  4,  5, 26.65
dp   ,  191, 1,  3,  6,  6, 15.40
dp   ,  192, 1,  1,  1,  3, 34.04
dp   ,  192, 1,  2,  4,  5, 23.84
dp   ,  193, 1,  1,  1,  3, 33.23
dp   ,  193, 1,  2,  4,  5, 36.34
dp   ,  194, 1,  1,  1,  3, 33.23
dp   ,  194, 1,  2,  4,  5, 36.34
dp   ,  195, 1,  1,  1,  3, 33.23
dp   ,  195, 1,  2,  4,  5, 36.34
dp   ,  196, 1,  1,  1,  3, 33.23
dp   ,  196, 1,  2,  4,  5, 26.65
dp   ,  197, 1,  1,  1,  3, 33.23
dp   ,  197, 1,  2,  4,  5, 26.65
dp   ,  198, 1,  1,  1,  3, 33.23
dp   ,  198, 1,  2,  4,  5, 26.65
dp   ,  199, 1,  1,  1,  3, 33.23
dp   ,  199, 1,  2,  4,  5, 23.63
dp   ,  200, 1,  1,  1,  3, 33.23
dp   ,  200, 1,  2,  4,  5, 23.63
dp   ,  201, 1,  1,  1,  3, 33.23
dp   ,  201, 1,  2,  4,  5, 22.15
dp   ,  202, 1,  1,  1,  3, 33.23
dp   ,  202, 1,  2,  4,  5, 36.34
dp   ,  203, 1,  1,  1,  3, 33.13
dp   ,  203, 1,  2,  4,  5, 36.34
dp   ,  203, 1,  3,  6,  6, 14.67
dp   ,  204, 1,  1,  1,  3, 32.18
dp   ,  204, 1,  2,  4,  5, 36.34
dp   ,  204, 1,  3,  6,  6, 13.32
dp   ,  205, 1,  1,  1,  3, 33.23
dp   ,  205, 1,  2,  4,  5, 26.65
dp   ,  206, 1,  1,  1,  3, 33.23
dp   ,  206, 1,  2,  4,  5, 26.65
dp   ,  207, 1,  1,  1,  3, 33.23
dp   ,  207, 1,  2,  4,  5, 23.63
dp   ,  208, 1,  1,  1,  3, 33.23
dp   ,  208, 1,  2,  4,  5, 36.34
dp   ,  209, 1,  1,  1,  3, 31.64
dp   ,  209, 1,  2,  4,  5, 36.34
dp   ,  209, 1,  3,  6,  6, 14.96
dp   ,  210, 1,  1,  1,  3, 33.23
dp   ,  210, 1,  2,  4,  5, 26.65
dp   ,  211, 1,  1,  1,  3, 32.52
dp   ,  211, 1,  2,  4,  5, 36.34
dp   ,  212, 1,  1,  1,  3, 32.52
dp   ,  212, 1,  2,  4,  5, 36.34
dp   ,  213, 1,  1,  1,  3, 32.52
dp   ,  213, 1,  2,  4,  5, 36.34
dp   ,  214, 1,  1,  1,  3, 32.52
dp   ,  214, 1,  2,  4,  5, 26.65
dp   ,  215, 1,  1,  1,  3, 32.52
dp   ,  215, 1,  2,  4,  5, 26.65
dp   ,  216, 1,  1,  1,  3, 32.52
dp   ,  216, 1,  2,  4,  5, 23.63
dp   ,  217, 1,  1,  1,  3, 32.52
dp   ,  217, 1,  2,  4,  5, 36.34
dp   ,  218, 1,  1,  1,  3, 32.52
dp   ,  218, 1,  2,  4,  5, 36.34
dp   ,  219, 1,  1,  1,  3, 32.52
dp   ,  219, 1,  2,  4,  5, 26.65
dp   ,  220, 1,  1,  1,  3, 32.52
dp   ,  220, 1,  2,  4,  5, 36.34
