method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,   32, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   33, 1,  1,      0.00,1000.00, 32.05,0.0000,0.0000,  1,  2
dp   ,   33, 1,  2,      0.00,  53.46, 38.35,0.0000,0.0000,  1,  3
dp   ,   33, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   33, 1,  4,    150.00,  49.06, 33.94,1.0000,0.0000,  2,  3
dp   ,   33, 1,  5,      0.00,  49.23, 49.23,0.0000,0.0000,  2,  4
dp   ,   33, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   34, 1,  1,      0.00,1000.00, 31.94,0.0000,0.0000,  1,  2
dp   ,   34, 1,  2,      0.00,  53.35, 38.24,0.0000,0.0000,  1,  3
dp   ,   34, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   34, 1,  4,    150.00,  49.04, 33.93,1.0000,0.0000,  2,  3
dp   ,   34, 1,  5,      0.00,  49.23, 49.23,0.0000,0.0000,  2,  4
dp   ,   34, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   35, 1,  1,      0.00,1000.00, 31.83,0.0000,0.0000,  1,  2
dp   ,   35, 1,  2,      0.00,  53.25, 38.13,0.0000,0.0000,  1,  3
dp   ,   35, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   35, 1,  4,    150.00,  49.03, 33.91,1.0000,0.0000,  2,  3
dp   ,   35, 1,  5,      0.00,  49.22, 49.22,0.0000,0.0000,  2,  4
dp   ,   35, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   36, 1,  1,      0.00,1000.00, 31.72,0.0000,0.0000,  1,  2
dp   ,   36, 1,  2,      0.00,  53.14, 38.02,0.0000,0.0000,  1,  3
dp   ,   36, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   36, 1,  4,    150.00,  49.01, 33.90,1.0000,0.0000,  2,  3
dp   ,   36, 1,  5,      0.00,  49.22, 49.22,0.0000,0.0000,  2,  4
dp   ,   36, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   37, 1,  1,      0.00,1000.00, 31.62,0.0000,0.0000,  1,  2
dp   ,   37, 1,  2,      0.00,  53.03, 37.92,0.0000,0.0000,  1,  3
dp   ,   37, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   37, 1,  4,    150.00,  49.00, 33.88,1.0000,0.0000,  2,  3
dp   ,   37, 1,  5,      0.00,  49.21, 49.21,0.0000,0.0000,  2,  4
dp   ,   37, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   38, 1,  1,      0.00,1000.00, 31.51,0.0000,0.0000,  1,  2
dp   ,   38, 1,  2,      0.00,  52.92, 37.81,0.0000,0.0000,  1,  3
dp   ,   38, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   38, 1,  4,    150.00,  48.98, 33.87,1.0000,0.0000,  2,  3
dp   ,   38, 1,  5,      0.00,  49.20, 49.20,0.0000,0.0000,  2,  4
dp   ,   38, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   39, 1,  1,      0.00,1000.00, 31.40,0.0000,0.0000,  1,  2
dp   ,   39, 1,  2,      0.00,  52.82, 37.70,0.0000,0.0000,  1,  3
dp   ,   39, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   39, 1,  4,    150.00,  48.97, 33.85,1.0000,0.0000,  2,  3
